Country,Happiness Score,Whisker-high,Whisker-low,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Year,Happiness Rank,Region
Guatemala,6287,6.457,6.117,1.26,1.169,0.467,0.735,0.105,0.078,2.473,2024,42,Latin America and Caribbean
Nicaragua,6284,6.433,6.135,1.097,1.263,0.542,0.793,0.133,0.251,2.203,2024,43,Latin America and Caribbean
Brazil,6272,6.39,6.154,1.43,1.269,0.548,0.685,0.13,0.142,2.068,2024,44,Latin America and Caribbean
Slovakia,6257,6.332,6.182,1.706,1.54,0.638,0.566,0.096,0.058,1.653,2024,45,Central and Eastern Europe
Latvia,6234,6.314,6.155,1.7,1.508,0.564,0.666,0.127,0.078,1.59,2024,46,Central and Eastern Europe
Uzbekistan,6195,6.303,6.087,1.212,1.394,0.539,0.835,0.251,0.215,1.749,2024,47,Commonwealth of Independent States
Argentina,6188,6.306,6.07,1.562,1.381,0.585,0.681,0.087,0.08,1.812,2024,48,Latin America and Caribbean
Kazakhstan,6188,6.278,6.097,1.622,1.457,0.556,0.733,0.149,0.12,1.551,2024,49,Commonwealth of Independent States
Cyprus,6068,6.182,5.954,1.794,1.217,0.744,0.529,0.124,0.049,1.611,2024,50,Western Europe
Japan,6060,6.144,5.976,1.786,1.354,0.785,0.632,0.023,0.219,1.261,2024,51,East Asia
South Korea,6058,6.148,5.968,1.815,1.178,0.77,0.555,0.126,0.158,1.456,2024,52,East Asia
Philippines,6048,6.166,5.929,1.232,1.146,0.441,0.826,0.099,0.136,2.167,2024,53,Southeast Asia
Vietnam,6043,6.138,5.948,1.331,1.267,0.539,0.843,0.094,0.16,1.81,2024,54,Southeast Asia
Portugal,6030,6.134,5.925,1.728,1.368,0.699,0.757,0.047,0.035,1.397,2024,55,Western Europe
Hungary,6017,6.124,5.91,1.722,1.528,0.596,0.581,0.123,0.067,1.4,2024,56,Central and Eastern Europe
Paraguay,5977,6.085,5.868,1.398,1.408,0.549,0.788,0.131,0.065,1.637,2024,57,Latin America and Caribbean
Thailand,5976,6.094,5.858,1.484,1.347,0.62,0.756,0.283,0.024,1.463,2024,58,Southeast Asia
Malaysia,5975,6.078,5.872,1.646,1.143,0.54,0.829,0.226,0.119,1.473,2024,59,Southeast Asia
China,5973,6.061,5.885,1.497,1.239,0.629,0.704,0.132,0.164,1.608,2024,60,East Asia
Honduras,5968,6.114,5.822,1.091,1.035,0.502,0.72,0.175,0.081,2.364,2024,61,Latin America and Caribbean
Bahrain,5959,6.153,5.766,,,,,,,,2024,62,Middle East and North Africa
Croatia,5942,6.047,5.837,1.71,1.445,0.637,0.469,0.064,0.043,1.574,2024,63,Central and Eastern Europe
Greece,5934,6.027,5.84,1.684,1.276,0.696,0.337,0.018,0.093,1.83,2024,64,Western Europe
Bosnia and Herzegovina,5877,5.979,5.775,1.465,1.318,0.587,0.621,0.246,0.0,1.64,2024,65,Central and Eastern Europe
Libya,5866,5.987,5.746,1.526,1.1,0.55,0.592,0.111,0.204,1.785,2024,66,Middle East and North Africa
Jamaica,5842,6.059,5.624,1.28,1.324,0.567,0.647,0.089,0.028,1.907,2024,67,Latin America and Caribbean
Peru,5841,5.946,5.736,1.371,1.18,0.662,0.615,0.078,0.029,1.907,2024,68,Latin America and Caribbean
Dominican Republic,5823,5.967,5.679,1.517,1.272,0.511,0.73,0.086,0.196,1.512,2024,69,Latin America and Caribbean
Mauritius,5816,5.927,5.706,1.57,1.358,0.49,0.641,0.123,0.118,1.517,2024,70,Sub-Saharan Africa
Moldova,5816,5.93,5.702,1.385,1.277,0.542,0.695,0.077,0.044,1.795,2024,71,Commonwealth of Independent States
Russia,5785,5.859,5.712,1.642,1.351,0.531,0.551,0.138,0.121,1.451,2024,72,Commonwealth of Independent States
Bolivia,5784,5.895,5.674,1.217,1.179,0.488,0.719,0.1,0.061,2.02,2024,73,Latin America and Caribbean
Ecuador,5725,5.85,5.599,1.315,1.151,0.64,0.606,0.087,0.078,1.846,2024,74,Latin America and Caribbean
Kyrgyzstan,5714,5.795,5.632,1.054,1.477,0.588,0.834,0.225,0.03,1.505,2024,75,Commonwealth of Independent States
Montenegro,5707,5.815,5.599,1.571,1.318,0.587,0.632,0.11,0.132,1.357,2024,76,Central and Eastern Europe
Mongolia,5696,5.783,5.61,1.353,1.511,0.4,0.501,0.237,0.055,1.64,2024,77,East Asia
Colombia,5695,5.806,5.584,1.437,1.241,0.648,0.644,0.072,0.059,1.596,2024,78,Latin America and Caribbean
Venezuela,5607,5.725,5.489,0.0,1.321,0.491,0.518,0.192,0.086,2.998,2024,79,Latin America and Caribbean
Indonesia,5568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,1.318,2024,80,Southeast Asia
Bulgaria,5463,5.569,5.357,1.629,1.469,0.567,0.62,0.083,0.006,1.088,2024,81,Central and Eastern Europe
Armenia,5455,5.56,5.35,1.444,1.154,0.603,0.65,0.051,0.173,1.379,2024,82,Commonwealth of Independent States
South Africa,5422,5.549,5.295,1.389,1.369,0.322,0.537,0.078,0.034,1.693,2024,83,Sub-Saharan Africa
North Macedonia,5369,5.468,5.27,1.475,1.277,0.569,0.58,0.194,0.015,1.26,2024,84,Central and Eastern Europe
Algeria,5364,5.476,5.251,1.324,1.191,0.568,0.247,0.091,0.2,1.743,2024,85,Middle East and North Africa
Hong Kong S.A.R. of China,5316,5.403,5.229,1.909,1.184,0.857,0.485,0.147,0.402,0.333,2024,86,East Asia
Albania,5304,5.44,5.168,1.438,0.924,0.638,0.69,0.138,0.049,1.428,2024,87,Central and Eastern Europe
Tajikistan,5281,5.361,5.201,,,,,,,,2024,88,Commonwealth of Independent States
Congo (Brazzaville),5221,5.396,5.047,0.892,0.622,0.306,0.523,0.124,0.138,2.617,2024,89,
Mozambique,5216,5.406,5.027,0.56,0.883,0.156,0.728,0.158,0.196,2.536,2024,90,Sub-Saharan Africa
Georgia,5185,5.283,5.087,1.467,0.99,0.524,0.68,0.0,0.174,1.349,2024,91,Commonwealth of Independent States
Iraq,5166,5.283,5.049,1.249,0.996,0.498,0.425,0.141,0.048,1.809,2024,92,Middle East and North Africa
Nepal,5158,5.29,5.027,0.965,0.99,0.443,0.653,0.209,0.115,1.783,2024,93,South Asia
Laos,5139,5.261,5.017,1.208,0.846,0.423,0.796,0.17,0.167,1.529,2024,94,Southeast Asia
Gabon,5106,5.243,4.969,1.403,1.038,0.344,0.516,0.045,0.1,1.66,2024,95,Sub-Saharan Africa
Ivory Coast,5080,5.224,4.936,1.08,0.578,0.288,0.547,0.12,0.164,2.303,2024,96,Sub-Saharan Africa
Guinea,5023,5.166,4.881,0.831,0.622,0.236,0.521,0.21,0.107,2.497,2024,97,Sub-Saharan Africa
Turkiye,4975,5.085,4.866,1.702,1.175,0.631,0.202,0.068,0.115,1.083,2024,98,
Senegal,4969,5.096,4.841,0.927,0.751,0.392,0.607,0.152,0.069,2.071,2024,99,Sub-Saharan Africa
Iran,4923,5.024,4.822,1.435,1.136,0.571,0.366,0.235,0.123,1.057,2024,100,Middle East and North Africa
Azerbaijan,4893,5.018,4.768,1.433,0.876,0.496,0.668,0.112,0.199,1.11,2024,101,Commonwealth of Independent States
Nigeria,4881,5.018,4.744,1.042,1.075,0.256,0.566,0.201,0.019,1.722,2024,102,Sub-Saharan Africa
State of Palestine,4879,5.006,4.753,,,,,,,,2024,103,
Cameroon,4874,4.996,4.753,0.943,0.856,0.288,0.521,0.126,0.06,2.08,2024,104,Sub-Saharan Africa
Ukraine,4873,4.988,4.758,1.35,1.315,0.513,0.631,0.285,0.025,0.753,2024,105,Commonwealth of Independent States
Namibia,4832,4.958,4.705,1.266,1.212,0.307,0.47,0.069,0.061,1.446,2024,106,Sub-Saharan Africa
Morocco,4795,4.912,4.677,1.213,0.471,0.495,0.631,0.042,0.082,1.861,2024,107,Middle East and North Africa
Pakistan,4657,4.779,4.535,1.069,0.6,0.321,0.542,0.144,0.074,1.907,2024,108,South Asia
Niger,4556,4.712,4.401,0.573,0.677,0.293,0.615,0.145,0.147,2.107,2024,109,Sub-Saharan Africa
Burkina Faso,4548,4.686,4.41,0.756,0.685,0.274,0.483,0.173,0.179,1.999,2024,110,Sub-Saharan Africa
Mauritania,4505,4.673,4.337,1.078,0.705,0.4,0.343,0.133,0.198,1.649,2024,111,Sub-Saharan Africa
Gambia,4485,4.625,4.344,0.75,0.684,0.33,0.459,0.324,0.048,1.89,2024,112,Sub-Saharan Africa
Chad,4471,4.63,4.313,0.603,0.805,0.199,0.411,0.218,0.113,2.122,2024,113,Sub-Saharan Africa
Kenya,4470,4.595,4.344,1.037,0.895,0.353,0.519,0.282,0.069,1.316,2024,114,Sub-Saharan Africa
Tunisia,4422,4.505,4.338,1.306,0.955,0.579,0.254,0.024,0.018,1.285,2024,115,Middle East and North Africa
Benin,4377,4.51,4.245,0.914,0.128,0.284,0.567,0.112,0.252,2.121,2024,116,Sub-Saharan Africa
Uganda,4372,4.501,4.243,0.772,1.151,0.373,0.587,0.178,0.054,1.256,2024,117,Sub-Saharan Africa
Myanmar,4354,4.501,4.208,0.978,0.988,0.436,0.45,0.401,0.174,0.928,2024,118,Southeast Asia
Cambodia,4341,4.446,4.236,1.011,1.019,0.442,0.863,0.17,0.071,0.765,2024,119,Southeast Asia
Ghana,4289,4.396,4.182,1.077,0.747,0.36,0.623,0.183,0.028,1.273,2024,120,Sub-Saharan Africa
Liberia,4269,4.474,4.063,0.619,0.673,0.301,0.546,0.178,0.075,1.878,2024,121,Sub-Saharan Africa
Mali,4232,4.347,4.117,0.747,0.688,0.267,0.586,0.12,0.09,1.734,2024,122,Sub-Saharan Africa
Madagascar,4228,4.359,4.097,0.628,0.823,0.333,0.25,0.172,0.123,1.897,2024,123,Sub-Saharan Africa
Togo,4214,4.33,4.098,0.758,0.586,0.32,0.453,0.127,0.156,1.814,2024,124,Sub-Saharan Africa
Jordan,4186,4.306,4.066,1.262,0.983,0.594,0.593,0.059,0.189,0.504,2024,125,Middle East and North Africa
India,4054,4.123,3.985,1.166,0.653,0.417,0.767,0.174,0.122,0.756,2024,126,South Asia
Egypt,3977,4.066,3.887,1.37,0.996,0.488,0.49,0.025,0.259,0.349,2024,127,Middle East and North Africa
Sri Lanka,3898,4.018,3.778,1.361,1.179,0.586,0.583,0.144,0.031,0.014,2024,128,South Asia
Bangladesh,3886,3.994,3.778,1.122,0.249,0.513,0.775,0.14,0.167,0.919,2024,129,South Asia
Ethiopia,3861,3.997,3.725,0.792,0.915,0.42,0.441,0.27,0.101,0.923,2024,130,Sub-Saharan Africa
Tanzania,3781,3.917,3.644,0.82,0.706,0.38,0.709,0.191,0.257,0.717,2024,131,Sub-Saharan Africa
Comoros,3566,3.754,3.378,0.896,0.328,0.37,0.172,0.128,0.16,1.512,2024,132,Sub-Saharan Africa
Yemen,3561,3.714,3.408,0.671,1.281,0.293,0.362,0.08,0.113,0.76,2024,133,Middle East and North Africa
Zambia,3502,3.636,3.368,0.899,0.809,0.264,0.727,0.168,0.109,0.526,2024,134,Sub-Saharan Africa
Eswatini,3502,3.673,3.331,1.255,0.925,0.176,0.284,0.059,0.116,0.686,2024,135,
Malawi,3421,3.561,3.281,0.617,0.41,0.349,0.571,0.135,0.136,1.203,2024,136,Sub-Saharan Africa
Botswana,3383,3.558,3.209,1.445,0.969,0.241,0.567,0.014,0.082,0.066,2024,137,Sub-Saharan Africa
Zimbabwe,3341,3.457,3.226,0.748,0.85,0.232,0.487,0.096,0.131,0.797,2024,138,Sub-Saharan Africa
Congo (Kinshasa),3295,3.462,3.128,0.534,0.665,0.262,0.473,0.189,0.072,1.102,2024,139,
Sierra Leone,3245,3.366,3.124,0.654,0.566,0.253,0.469,0.181,0.053,1.068,2024,140,Sub-Saharan Africa
Lesotho,3186,3.469,2.904,0.771,0.851,0.0,0.523,0.082,0.085,0.875,2024,141,Sub-Saharan Africa
Lebanon,2707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029,-0.073,2024,142,Middle East and North Africa
Afghanistan,1721,1.775,1.667,0.628,0.0,0.242,0.0,0.091,0.088,0.672,2024,143,South Asia
