Country,Region,Happiness Score,Standard Error,Whisker-low,Whisker-high,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Year,Happiness Rank
United Kingdom,Western Europe,7064,0.038,7.138,6.99,1.423,1.062,0.757,0.58,0.34,0.306,2.596,2021,17
Czech Republic,Central and Eastern Europe,6965,0.049,7.062,6.868,1.37,1.09,0.703,0.58,0.052,0.046,3.124,2021,18
United States of America,North America and ANZ,6951,0.049,7.047,6.856,1.533,1.03,0.621,0.554,0.252,0.154,2.807,2021,19
Belgium,Western Europe,6834,0.034,6.901,6.767,1.463,0.998,0.747,0.489,0.088,0.187,2.862,2021,20
France,Western Europe,6690,0.037,6.762,6.618,1.421,1.081,0.804,0.536,0.092,0.235,2.521,2021,21
Bahrain,Middle East and North Africa,6647,0.068,6.779,6.514,1.409,0.899,0.662,0.661,0.246,0.139,2.631,2021,22
Malta,Western Europe,6602,0.044,6.688,6.516,1.411,1.055,0.747,0.664,0.275,0.183,2.268,2021,23
Taiwan Province of China,East Asia,6584,0.038,6.659,6.51,1.48,0.982,0.665,0.49,0.142,0.139,2.687,2021,24
United Arab Emirates,Middle East and North Africa,6561,0.039,6.637,6.484,1.555,0.86,0.594,0.67,0.236,0.223,2.422,2021,25
Saudi Arabia,Middle East and North Africa,6494,0.056,6.604,6.384,1.435,0.964,0.571,0.603,0.09,0.163,2.668,2021,26
Spain,Western Europe,6491,0.042,6.574,6.408,1.375,1.057,0.826,0.462,0.135,0.124,2.513,2021,27
Italy,Western Europe,6483,0.045,6.572,6.395,1.393,0.94,0.798,0.379,0.133,0.047,2.794,2021,28
Slovenia,Central and Eastern Europe,6461,0.043,6.546,6.376,1.36,1.093,0.722,0.69,0.122,0.085,2.388,2021,29
Guatemala,Latin America and Caribbean,6435,0.073,6.577,6.292,0.845,0.79,0.519,0.638,0.163,0.105,3.375,2021,30
Uruguay,Latin America and Caribbean,6431,0.046,6.521,6.341,1.164,1.042,0.649,0.625,0.128,0.223,2.6,2021,31
Singapore,Southeast Asia,6377,0.043,6.46,6.293,1.695,1.019,0.897,0.664,0.176,0.547,1.379,2021,32
Kosovo,Central and Eastern Europe,6372,0.059,6.487,6.257,0.937,0.807,0.483,0.593,0.356,0.014,3.182,2021,33
Slovakia,Central and Eastern Europe,6331,0.041,6.411,6.251,1.304,1.066,0.653,0.468,0.107,0.018,2.714,2021,34
Brazil,Latin America and Caribbean,6330,0.043,6.415,6.245,1.028,0.944,0.571,0.514,0.142,0.117,3.015,2021,35
Mexico,Latin America and Caribbean,6317,0.053,6.42,6.213,1.126,0.83,0.634,0.585,0.092,0.089,2.961,2021,36
Jamaica,Latin America and Caribbean,6309,0.156,6.615,6.004,0.891,0.932,0.599,0.618,0.099,0.035,3.135,2021,37
Lithuania,Central and Eastern Europe,6255,0.045,6.344,6.167,1.35,1.065,0.612,0.476,0.056,0.073,2.624,2021,38
Cyprus,Western Europe,6223,0.049,6.319,6.128,1.377,0.765,0.801,0.464,0.178,0.061,2.578,2021,39
Estonia,Central and Eastern Europe,6189,0.038,6.263,6.115,1.344,1.079,0.64,0.641,0.119,0.263,2.103,2021,40
Panama,Latin America and Caribbean,6180,0.073,6.323,6.036,1.298,0.976,0.667,0.596,0.079,0.053,2.509,2021,41
Uzbekistan,Commonwealth of Independent States,6179,0.068,6.312,6.045,0.769,1.027,0.528,0.716,0.391,0.271,2.477,2021,42
Chile,Latin America and Caribbean,6172,0.046,6.262,6.081,1.2,0.946,0.678,0.438,0.159,0.07,2.682,2021,43
Poland,Central and Eastern Europe,6166,0.04,6.245,6.087,1.309,0.982,0.668,0.558,0.08,0.13,2.438,2021,44
Kazakhstan,Commonwealth of Independent States,6152,0.047,6.243,6.06,1.23,1.103,0.527,0.573,0.143,0.132,2.446,2021,45
Romania,Central and Eastern Europe,6140,0.057,6.253,6.027,1.275,0.832,0.595,0.564,0.045,0.001,2.83,2021,46
Kuwait,Middle East and North Africa,6106,0.066,6.235,5.977,1.461,0.857,0.58,0.591,0.12,0.13,2.368,2021,47
Serbia,Central and Eastern Europe,6078,0.053,6.181,5.974,1.101,0.924,0.634,0.482,0.189,0.066,2.682,2021,48
El Salvador,Latin America and Caribbean,6061,0.065,6.188,5.933,0.845,0.675,0.565,0.615,0.116,0.16,3.085,2021,49
Mauritius,Sub-Saharan Africa,6049,0.059,6.165,5.933,1.178,0.996,0.574,0.59,0.153,0.096,2.462,2021,50
Latvia,Central and Eastern Europe,6032,0.036,6.103,5.961,1.285,1.047,0.587,0.405,0.082,0.089,2.536,2021,51
Colombia,Latin America and Caribbean,6012,0.061,6.132,5.892,1.021,0.866,0.615,0.554,0.1,0.063,2.794,2021,52
Hungary,Central and Eastern Europe,5992,0.047,6.085,5.899,1.301,1.083,0.615,0.454,0.067,0.04,2.432,2021,53
Thailand,Southeast Asia,5985,0.047,6.077,5.893,1.107,0.957,0.596,0.611,0.375,0.028,2.309,2021,54
Nicaragua,Latin America and Caribbean,5972,0.083,6.134,5.81,0.693,0.904,0.604,0.553,0.201,0.176,2.841,2021,55
Japan,East Asia,5940,0.04,6.02,5.861,1.389,0.949,0.838,0.504,0.02,0.192,2.048,2021,56
Argentina,Latin America and Caribbean,5929,0.056,6.04,5.819,1.162,0.98,0.646,0.544,0.069,0.067,2.461,2021,57
Portugal,Western Europe,5929,0.055,6.037,5.821,1.323,0.939,0.76,0.621,0.029,0.033,2.225,2021,58
Honduras,Latin America and Caribbean,5919,0.082,6.081,5.758,0.703,0.787,0.593,0.578,0.241,0.083,2.934,2021,59
Croatia,Central and Eastern Europe,5882,0.048,5.975,5.788,1.251,1.039,0.703,0.453,0.111,0.0,2.325,2021,60
Philippines,Southeast Asia,5880,0.052,5.982,5.778,0.853,0.828,0.426,0.651,0.125,0.126,2.872,2021,61
South Korea,East Asia,5845,0.042,5.928,5.763,1.403,0.758,0.801,0.353,0.134,0.135,2.262,2021,62
Peru,Latin America and Caribbean,5840,0.075,5.988,5.692,0.986,0.833,0.623,0.536,0.087,0.031,2.744,2021,63
Bosnia and Herzegovina,Central and Eastern Europe,5813,0.05,5.911,5.715,1.032,0.919,0.618,0.395,0.261,0.005,2.583,2021,64
Moldova,Commonwealth of Independent States,5766,0.046,5.856,5.677,0.985,0.888,0.542,0.536,0.137,0.013,2.665,2021,65
Ecuador,Latin America and Caribbean,5764,0.057,5.875,5.653,0.935,0.806,0.64,0.56,0.107,0.062,2.653,2021,66
Kyrgyzstan,Commonwealth of Independent States,5744,0.046,5.834,5.653,0.665,0.971,0.501,0.673,0.266,0.02,2.648,2021,67
Greece,Western Europe,5723,0.046,5.813,5.632,1.273,0.811,0.76,0.243,0.0,0.074,2.561,2021,68
Bolivia,Latin America and Caribbean,5716,0.053,5.819,5.613,0.842,0.782,0.486,0.6,0.138,0.064,2.805,2021,69
Mongolia,East Asia,5677,0.042,5.76,5.595,0.966,1.065,0.442,0.397,0.263,0.053,2.492,2021,70
Paraguay,Latin America and Caribbean,5653,0.092,5.832,5.473,0.983,0.97,0.549,0.602,0.206,0.037,2.306,2021,71
Montenegro,Central and Eastern Europe,5581,0.054,5.686,5.475,1.155,0.891,0.637,0.397,0.166,0.081,2.254,2021,72
Dominican Republic,Latin America and Caribbean,5545,0.071,5.685,5.405,1.106,0.879,0.555,0.581,0.101,0.144,2.178,2021,73
North Cyprus,Western Europe,5536,0.051,5.636,5.435,1.377,0.806,0.801,0.503,0.196,0.2,1.653,2021,74
Belarus,Commonwealth of Independent States,5534,0.047,5.625,5.442,1.124,1.007,0.56,0.326,0.07,0.199,2.247,2021,75
Russia,Commonwealth of Independent States,5477,0.033,5.541,5.413,1.241,0.992,0.511,0.409,0.115,0.06,2.148,2021,76
Hong Kong S.A.R. of China,East Asia,5477,0.049,5.573,5.38,1.525,0.841,0.893,0.408,0.232,0.342,1.236,2021,77
Tajikistan,Commonwealth of Independent States,5466,0.034,5.532,5.4,0.508,0.895,0.498,0.548,0.152,0.247,2.619,2021,78
Vietnam,Southeast Asia,5411,0.039,5.488,5.334,0.817,0.873,0.616,0.679,0.124,0.091,2.211,2021,79
Libya,Middle East and North Africa,5410,0.076,5.558,5.262,1.044,0.821,0.435,0.474,0.131,0.174,2.331,2021,80
Malaysia,Southeast Asia,5384,0.049,5.48,5.289,1.259,0.797,0.587,0.624,0.27,0.064,1.784,2021,81
Indonesia,Southeast Asia,5345,0.056,5.454,5.235,0.954,0.786,0.433,0.598,0.541,0.046,1.987,2021,82
Congo (Brazzaville),Sub-Saharan Africa,5342,0.097,5.533,5.151,0.518,0.392,0.307,0.381,0.144,0.124,3.476,2021,83
China,East Asia,5339,0.029,5.397,5.281,1.061,0.785,0.665,0.636,0.093,0.117,1.982,2021,84
Ivory Coast,Sub-Saharan Africa,5306,0.078,5.46,5.152,0.669,0.409,0.052,0.438,0.177,0.092,3.469,2021,85
Armenia,Commonwealth of Independent States,5283,0.058,5.397,5.168,0.996,0.758,0.585,0.54,0.079,0.198,2.127,2021,86
Nepal,South Asia,5269,0.07,5.406,5.132,0.519,0.702,0.496,0.488,0.287,0.135,2.642,2021,87
Bulgaria,Central and Eastern Europe,5266,0.054,5.371,5.16,1.181,1.055,0.583,0.494,0.125,0.005,1.823,2021,88
Maldives,South Asia,5198,0.072,5.339,5.057,1.115,1.015,0.697,0.575,0.204,0.073,1.52,2021,89
Azerbaijan,Commonwealth of Independent States,5171,0.04,5.25,5.091,1.025,0.841,0.541,0.526,0.043,0.276,1.919,2021,90
Cameroon,Sub-Saharan Africa,5142,0.074,5.288,4.996,0.543,0.556,0.159,0.425,0.205,0.058,3.195,2021,91
Senegal,Sub-Saharan Africa,5132,0.068,5.266,4.998,0.518,0.558,0.357,0.381,0.158,0.088,3.071,2021,92
Albania,Central and Eastern Europe,5117,0.059,5.234,5.001,1.008,0.529,0.646,0.491,0.168,0.024,2.25,2021,93
North Macedonia,Central and Eastern Europe,5101,0.051,5.202,5.001,1.068,0.772,0.535,0.45,0.212,0.022,2.042,2021,94
Ghana,Sub-Saharan Africa,5088,0.067,5.219,4.958,0.68,0.595,0.287,0.517,0.268,0.058,2.684,2021,95
Niger,Sub-Saharan Africa,5074,0.102,5.273,4.875,0.162,0.402,0.167,0.516,0.2,0.157,3.47,2021,96
Turkmenistan,Commonwealth of Independent States,5066,0.036,5.136,4.996,1.046,1.172,0.439,0.602,0.366,0.033,1.409,2021,97
Gambia,Sub-Saharan Africa,5051,0.089,5.225,4.877,0.367,0.511,0.21,0.384,0.465,0.123,2.99,2021,98
Benin,Sub-Saharan Africa,5045,0.073,5.189,4.901,0.507,0.058,0.196,0.457,0.166,0.178,3.482,2021,99
Laos,Southeast Asia,5030,0.045,5.119,4.941,0.808,0.598,0.33,0.643,0.268,0.179,2.204,2021,100
Bangladesh,South Asia,5025,0.046,5.115,4.934,0.635,0.52,0.514,0.603,0.161,0.164,2.427,2021,101
Guinea,Sub-Saharan Africa,4984,0.09,5.16,4.808,0.42,0.399,0.206,0.384,0.25,0.111,3.216,2021,102
South Africa,Sub-Saharan Africa,4956,0.06,5.074,4.839,0.967,0.895,0.265,0.447,0.144,0.051,2.187,2021,103
Turkey,Middle East and North Africa,4948,0.046,5.038,4.857,1.26,0.809,0.59,0.236,0.097,0.104,1.852,2021,104
Pakistan,South Asia,4934,0.068,5.066,4.802,0.637,0.423,0.322,0.418,0.252,0.097,2.784,2021,105
Morocco,Middle East and North Africa,4918,0.06,5.036,4.8,0.792,0.219,0.558,0.477,0.034,0.088,2.749,2021,106
Venezuela,Latin America and Caribbean,4892,0.064,5.017,4.767,0.852,0.897,0.574,0.284,0.078,0.072,2.135,2021,107
Georgia,Commonwealth of Independent States,4891,0.054,4.998,4.785,1.03,0.47,0.498,0.488,0.032,0.181,2.191,2021,108
Algeria,Middle East and North Africa,4887,0.053,4.991,4.783,0.946,0.765,0.552,0.119,0.144,0.12,2.242,2021,109
Ukraine,Commonwealth of Independent States,4875,0.052,4.977,4.773,0.979,0.958,0.517,0.417,0.181,0.01,1.813,2021,110
Iraq,Middle East and North Africa,4854,0.059,4.97,4.738,0.91,0.638,0.381,0.302,0.153,0.041,2.429,2021,111
Gabon,Sub-Saharan Africa,4852,0.075,4.998,4.706,1.037,0.707,0.362,0.424,0.058,0.064,2.201,2021,112
Burkina Faso,Sub-Saharan Africa,4834,0.081,4.993,4.675,0.364,0.472,0.179,0.381,0.182,0.122,3.133,2021,113
Cambodia,Southeast Asia,4830,0.067,4.963,4.698,0.603,0.68,0.426,0.702,0.21,0.061,2.148,2021,114
Mozambique,Sub-Saharan Africa,4794,0.103,4.997,4.592,0.183,0.634,0.196,0.608,0.228,0.163,2.783,2021,115
Nigeria,Sub-Saharan Africa,4759,0.052,4.861,4.658,0.663,0.625,0.051,0.433,0.212,0.039,2.736,2021,116
Mali,Sub-Saharan Africa,4723,0.082,4.884,4.563,0.387,0.59,0.11,0.384,0.164,0.072,3.016,2021,117
Iran,Middle East and North Africa,4721,0.055,4.828,4.614,1.03,0.557,0.561,0.275,0.33,0.144,1.823,2021,118
Uganda,Sub-Saharan Africa,4636,0.073,4.78,4.493,0.364,0.718,0.24,0.398,0.267,0.054,2.596,2021,119
Liberia,Sub-Saharan Africa,4625,0.106,4.833,4.417,0.228,0.58,0.253,0.43,0.221,0.057,2.857,2021,120
Kenya,Sub-Saharan Africa,4607,0.072,4.747,4.466,0.603,0.508,0.385,0.483,0.375,0.073,2.18,2021,121
Tunisia,Middle East and North Africa,4596,0.058,4.709,4.484,0.919,0.515,0.59,0.334,0.057,0.044,2.138,2021,122
Lebanon,Middle East and North Africa,4584,0.055,4.691,4.477,1.045,0.868,0.595,0.175,0.14,0.026,1.736,2021,123
Namibia,Sub-Saharan Africa,4574,0.064,4.7,4.448,0.882,0.801,0.262,0.411,0.091,0.059,2.068,2021,124
Palestinian Territories,Middle East and North Africa,4517,0.067,4.649,4.384,0.646,0.819,0.434,0.33,0.082,0.075,2.131,2021,125
Myanmar,Southeast Asia,4426,0.052,4.527,4.324,0.666,0.713,0.341,0.601,0.52,0.178,1.407,2021,126
Jordan,Middle East and North Africa,4395,0.062,4.516,4.273,0.89,0.685,0.583,0.455,0.079,0.15,1.553,2021,127
Chad,Sub-Saharan Africa,4355,0.094,4.54,4.171,0.255,0.353,0.0,0.24,0.215,0.084,3.209,2021,128
Sri Lanka,South Asia,4325,0.066,4.454,4.196,0.99,0.82,0.593,0.559,0.239,0.049,1.075,2021,129
Swaziland,Sub-Saharan Africa,4308,0.071,4.448,4.168,0.849,0.693,0.074,0.323,0.067,0.147,2.155,2021,130
Comoros,Sub-Saharan Africa,4289,0.084,4.454,4.123,0.488,0.367,0.279,0.202,0.241,0.101,2.61,2021,131
Egypt,Middle East and North Africa,4283,0.045,4.371,4.195,0.954,0.647,0.426,0.446,0.069,0.092,1.648,2021,132
Ethiopia,Sub-Saharan Africa,4275,0.051,4.374,4.175,0.37,0.679,0.331,0.451,0.241,0.114,2.089,2021,133
Mauritania,Sub-Saharan Africa,4227,0.07,4.365,4.09,0.666,0.749,0.273,0.218,0.119,0.133,2.069,2021,134
Madagascar,Sub-Saharan Africa,4208,0.072,4.349,4.068,0.266,0.503,0.341,0.207,0.185,0.087,2.62,2021,135
Togo,Sub-Saharan Africa,4107,0.077,4.258,3.956,0.254,0.239,0.203,0.289,0.209,0.107,2.806,2021,136
Zambia,Sub-Saharan Africa,4073,0.069,4.209,3.938,0.528,0.552,0.231,0.487,0.227,0.074,1.975,2021,137
Sierra Leone,Sub-Saharan Africa,3849,0.077,4.001,3.698,0.279,0.377,0.1,0.408,0.243,0.047,2.396,2021,138
India,South Asia,3819,0.026,3.869,3.769,0.741,0.316,0.383,0.622,0.246,0.106,1.405,2021,139
Burundi,Sub-Saharan Africa,3775,0.107,3.985,3.565,0.0,0.062,0.155,0.298,0.172,0.212,2.876,2021,140
Yemen,Middle East and North Africa,3658,0.07,3.794,3.521,0.329,0.831,0.272,0.268,0.092,0.089,1.776,2021,141
Tanzania,Sub-Saharan Africa,3623,0.071,3.762,3.485,0.433,0.54,0.3,0.549,0.307,0.231,1.263,2021,142
Haiti,Latin America and Caribbean,3615,0.173,3.953,3.276,0.294,0.173,0.227,0.257,0.463,0.139,2.06,2021,143
Malawi,Sub-Saharan Africa,3600,0.092,3.781,3.419,0.113,0.168,0.298,0.484,0.213,0.134,2.19,2021,144
Lesotho,Sub-Saharan Africa,3512,0.12,3.748,3.276,0.451,0.731,0.007,0.405,0.103,0.015,1.8,2021,145
Botswana,Sub-Saharan Africa,3467,0.074,3.611,3.322,1.099,0.724,0.34,0.539,0.027,0.088,0.648,2021,146
Rwanda,Sub-Saharan Africa,3415,0.068,3.548,3.282,0.364,0.202,0.407,0.627,0.227,0.493,1.095,2021,147
Zimbabwe,Sub-Saharan Africa,3145,0.058,3.259,3.03,0.457,0.649,0.243,0.359,0.157,0.075,1.205,2021,148
Afghanistan,South Asia,2523,0.038,2.596,2.449,0.37,0.0,0.126,0.0,0.122,0.01,1.895,2021,149
